#########################
Begin Lexical Analysis...
#########################
############
Lexer Output
############
CP = 0   Type = id	Data = begin	Pos = (0, 0)
CP = 1   Type = sig	Data = ::=	Pos = (5, 0)
CP = 2   Type = brac	Data = {	Pos = (9, 0)
CP = 3   Type = id	Data = statement	Pos = (10, 0)
CP = 4   Type = brac	Data = }	Pos = (19, 0)
CP = 5   Type = sig	Data = ;	Pos = (20, 0)
CP = 6   Type = id	Data = statement	Pos = (0, 2)
CP = 7   Type = sig	Data = ::=	Pos = (10, 2)
CP = 8   Type = id	Data = non_terminal_symbol	Pos = (14, 2)
CP = 9   Type = id	Data = assign_op	Pos = (34, 2)
CP = 10  Type = id	Data = declaration	Pos = (44, 2)
CP = 11  Type = id	Data = end_op	Pos = (56, 2)
CP = 12  Type = sig	Data = ;	Pos = (63, 2)
CP = 13  Type = id	Data = assign_op	Pos = (0, 4)
CP = 14  Type = sig	Data = ::=	Pos = (10, 4)
CP = 15  Type = slit	Data = '='	Pos = (14, 4)
CP = 16  Type = sig	Data = |	Pos = (12, 5)
CP = 17  Type = slit	Data = '::='	Pos = (14, 5)
CP = 18  Type = sig	Data = ;	Pos = (12, 6)
CP = 19  Type = id	Data = end_op	Pos = (0, 8)
CP = 20  Type = sig	Data = ::=	Pos = (7, 8)
CP = 21  Type = slit	Data = ';'	Pos = (11, 8)
CP = 22  Type = sig	Data = |	Pos = (9, 9)
CP = 23  Type = dlit	Data = "."	Pos = (11, 9)
CP = 24  Type = sig	Data = ;	Pos = (9, 10)
CP = 25  Type = id	Data = declaration	Pos = (0, 12)
CP = 26  Type = sig	Data = ::=	Pos = (12, 12)
CP = 27  Type = id	Data = term	Pos = (16, 12)
CP = 28  Type = brac	Data = {	Pos = (21, 12)
CP = 29  Type = slit	Data = '|'	Pos = (22, 12)
CP = 30  Type = id	Data = term	Pos = (26, 12)
CP = 31  Type = brac	Data = }	Pos = (30, 12)
CP = 32  Type = sig	Data = ;	Pos = (31, 12)
CP = 33  Type = id	Data = term	Pos = (0, 14)
CP = 34  Type = sig	Data = ::=	Pos = (5, 14)
CP = 35  Type = id	Data = part	Pos = (9, 14)
CP = 36  Type = brac	Data = {	Pos = (14, 14)
CP = 37  Type = brac	Data = [	Pos = (15, 14)
CP = 38  Type = slit	Data = ','	Pos = (16, 14)
CP = 39  Type = brac	Data = ]	Pos = (19, 14)
CP = 40  Type = id	Data = part	Pos = (21, 14)
CP = 41  Type = brac	Data = }	Pos = (25, 14)
CP = 42  Type = sig	Data = ;	Pos = (26, 14)
CP = 43  Type = id	Data = part	Pos = (0, 16)
CP = 44  Type = sig	Data = ::=	Pos = (5, 16)
CP = 45  Type = id	Data = repeat_part	Pos = (9, 16)
CP = 46  Type = sig	Data = |	Pos = (7, 17)
CP = 47  Type = id	Data = declaration_part	Pos = (9, 17)
CP = 48  Type = sig	Data = |	Pos = (7, 18)
CP = 49  Type = id	Data = alternative_part	Pos = (9, 18)
CP = 50  Type = sig	Data = |	Pos = (7, 19)
CP = 51  Type = id	Data = simple_part	Pos = (9, 19)
CP = 52  Type = sig	Data = ;	Pos = (7, 20)
CP = 53  Type = id	Data = repeat_part	Pos = (0, 22)
CP = 54  Type = sig	Data = ::=	Pos = (12, 22)
CP = 55  Type = slit	Data = '{'	Pos = (16, 22)
CP = 56  Type = id	Data = declaration	Pos = (20, 22)
CP = 57  Type = slit	Data = '}'	Pos = (32, 22)
CP = 58  Type = sig	Data = ;	Pos = (36, 22)
CP = 59  Type = id	Data = declaration_part	Pos = (0, 24)
CP = 60  Type = sig	Data = ::=	Pos = (17, 24)
CP = 61  Type = slit	Data = '('	Pos = (21, 24)
CP = 62  Type = id	Data = declaration	Pos = (25, 24)
CP = 63  Type = slit	Data = ')'	Pos = (37, 24)
CP = 64  Type = sig	Data = ;	Pos = (41, 24)
CP = 65  Type = id	Data = alternative_part	Pos = (0, 26)
CP = 66  Type = sig	Data = ::=	Pos = (17, 26)
CP = 67  Type = slit	Data = '['	Pos = (21, 26)
CP = 68  Type = id	Data = declaration	Pos = (25, 26)
CP = 69  Type = slit	Data = ']'	Pos = (37, 26)
CP = 70  Type = sig	Data = ;	Pos = (41, 26)
CP = 71  Type = id	Data = simple_part	Pos = (0, 28)
CP = 72  Type = sig	Data = ::=	Pos = (12, 28)
CP = 73  Type = id	Data = non_terminal_symbol	Pos = (16, 28)
CP = 74  Type = sig	Data = |	Pos = (14, 29)
CP = 75  Type = id	Data = terminal_symbol	Pos = (16, 29)
