#########################
Begin Lexical Analysis...
#########################
############
Lexer Output
############
CP = 0    Type = id	Data = begin	Pos = (0, 0)
CP = 1    Type = sig	Data = ::=	Pos = (5, 0)
CP = 2    Type = id	Data = stmts	Pos = (9, 0)
CP = 3    Type = sig	Data = ;	Pos = (15, 0)
CP = 4    Type = id	Data = ignore	Pos = (0, 2)
CP = 5    Type = sig	Data = ::=	Pos = (7, 2)
CP = 6    Type = brac	Data = {	Pos = (11, 2)
CP = 7    Type = token	Data = ENDL	Pos = (12, 2)
CP = 8    Type = brac	Data = }	Pos = (16, 2)
CP = 9    Type = sig	Data = ;	Pos = (18, 2)
CP = 10   Type = id	Data = endline	Pos = (0, 4)
CP = 11   Type = sig	Data = ::=	Pos = (8, 4)
CP = 12   Type = token	Data = ENDL	Pos = (12, 4)
CP = 13   Type = sig	Data = |	Pos = (17, 4)
CP = 14   Type = dlit	Data = ";"	Pos = (19, 4)
CP = 15   Type = sig	Data = ;	Pos = (23, 4)
CP = 16   Type = id	Data = stmts	Pos = (0, 6)
CP = 17   Type = sig	Data = ::=	Pos = (6, 6)
CP = 18   Type = brac	Data = {	Pos = (10, 6)
CP = 19   Type = id	Data = statements	Pos = (11, 6)
CP = 20   Type = brac	Data = {	Pos = (22, 6)
CP = 21   Type = token	Data = ENDL	Pos = (23, 6)
CP = 22   Type = brac	Data = }	Pos = (27, 6)
CP = 23   Type = brac	Data = }	Pos = (28, 6)
CP = 24   Type = sig	Data = ;	Pos = (29, 6)
CP = 25   Type = id	Data = decl_stmts	Pos = (0, 8)
CP = 26   Type = sig	Data = ::=	Pos = (11, 8)
CP = 27   Type = brac	Data = {	Pos = (15, 8)
CP = 28   Type = id	Data = declaration	Pos = (16, 8)
CP = 29   Type = brac	Data = {	Pos = (28, 8)
CP = 30   Type = token	Data = ENDL	Pos = (29, 8)
CP = 31   Type = brac	Data = }	Pos = (33, 8)
CP = 32   Type = brac	Data = }	Pos = (34, 8)
CP = 33   Type = sig	Data = ;	Pos = (35, 8)
CP = 34   Type = id	Data = endblock	Pos = (0, 10)
CP = 35   Type = sig	Data = ::=	Pos = (9, 10)
CP = 36   Type = id	Data = end_stmt	Pos = (13, 10)
CP = 37   Type = sig	Data = |	Pos = (22, 10)
CP = 38   Type = id	Data = else_stmt	Pos = (24, 10)
CP = 39   Type = sig	Data = |	Pos = (34, 10)
CP = 40   Type = id	Data = until_stmt	Pos = (36, 10)
CP = 41   Type = sig	Data = |	Pos = (47, 10)
CP = 42   Type = id	Data = catch_stmt	Pos = (49, 10)
CP = 43   Type = sig	Data = ;	Pos = (59, 10)
CP = 44   Type = id	Data = statement	Pos = (0, 12)
CP = 45   Type = sig	Data = ::=	Pos = (10, 12)
CP = 46   Type = id	Data = prep_stmt	Pos = (14, 12)
CP = 47   Type = sig	Data = |	Pos = (24, 12)
CP = 48   Type = id	Data = package_stmt	Pos = (26, 12)
CP = 49   Type = sig	Data = |	Pos = (39, 12)
CP = 50   Type = id	Data = import_stmt	Pos = (41, 12)
CP = 51   Type = sig	Data = |	Pos = (53, 12)
CP = 52   Type = id	Data = var_stmt	Pos = (55, 12)
CP = 53   Type = sig	Data = |	Pos = (64, 12)
CP = 54   Type = id	Data = block_stmt	Pos = (66, 12)
CP = 55   Type = sig	Data = |	Pos = (77, 12)
CP = 56   Type = id	Data = namespace_stmt	Pos = (79, 12)
CP = 57   Type = sig	Data = |	Pos = (94, 12)
CP = 58   Type = id	Data = using_stmt	Pos = (96, 12)
CP = 59   Type = sig	Data = |	Pos = (107, 12)
CP = 60   Type = id	Data = if_stmt	Pos = (109, 12)
CP = 61   Type = sig	Data = |	Pos = (117, 12)
CP = 62   Type = id	Data = switch_stmt	Pos = (119, 12)
CP = 63   Type = sig	Data = |	Pos = (131, 12)
CP = 64   Type = id	Data = while_stmt	Pos = (133, 12)
CP = 65   Type = sig	Data = |	Pos = (144, 12)
CP = 66   Type = id	Data = loop_stmt	Pos = (146, 12)
CP = 67   Type = sig	Data = |	Pos = (156, 12)
CP = 68   Type = id	Data = for_stmt	Pos = (158, 12)
CP = 69   Type = sig	Data = |	Pos = (167, 12)
CP = 70   Type = id	Data = foreach_stmt	Pos = (169, 12)
CP = 71   Type = sig	Data = |	Pos = (182, 12)
CP = 72   Type = id	Data = control_stmt	Pos = (184, 12)
CP = 73   Type = sig	Data = |	Pos = (197, 12)
CP = 74   Type = id	Data = function_stmt	Pos = (199, 12)
CP = 75   Type = sig	Data = |	Pos = (213, 12)
CP = 76   Type = id	Data = return_stmt	Pos = (215, 12)
CP = 77   Type = sig	Data = |	Pos = (227, 12)
CP = 78   Type = id	Data = try_stmt	Pos = (229, 12)
CP = 79   Type = sig	Data = |	Pos = (238, 12)
CP = 80   Type = id	Data = throw_stmt	Pos = (240, 12)
CP = 81   Type = sig	Data = |	Pos = (251, 12)
CP = 82   Type = id	Data = class_stmt	Pos = (253, 12)
CP = 83   Type = sig	Data = |	Pos = (264, 12)
CP = 84   Type = id	Data = expr_stmt	Pos = (266, 12)
CP = 85   Type = sig	Data = ;	Pos = (275, 12)
CP = 86   Type = id	Data = declaration	Pos = (0, 14)
CP = 87   Type = sig	Data = ::=	Pos = (12, 14)
CP = 88   Type = id	Data = prep_stmt	Pos = (16, 14)
CP = 89   Type = sig	Data = |	Pos = (26, 14)
CP = 90   Type = id	Data = namespace_stmt	Pos = (28, 14)
CP = 91   Type = sig	Data = |	Pos = (43, 14)
CP = 92   Type = id	Data = var_stmt	Pos = (45, 14)
CP = 93   Type = sig	Data = |	Pos = (54, 14)
CP = 94   Type = id	Data = using_stmt	Pos = (56, 14)
CP = 95   Type = sig	Data = |	Pos = (67, 14)
CP = 96   Type = id	Data = function_stmt	Pos = (69, 14)
CP = 97   Type = sig	Data = |	Pos = (83, 14)
CP = 98   Type = id	Data = class_stmt	Pos = (85, 14)
CP = 99   Type = sig	Data = ;	Pos = (95, 14)
CP = 100  Type = id	Data = prep_stmt	Pos = (0, 16)
CP = 101  Type = sig	Data = ::=	Pos = (10, 16)
CP = 102  Type = token	Data = PREP	Pos = (14, 16)
CP = 103  Type = token	Data = ENDL	Pos = (19, 16)
CP = 104  Type = sig	Data = ;	Pos = (23, 16)
CP = 105  Type = id	Data = package_stmt	Pos = (0, 18)
CP = 106  Type = sig	Data = ::=	Pos = (13, 18)
CP = 107  Type = dlit	Data = "package"	Pos = (17, 18)
CP = 108  Type = token	Data = ID	Pos = (27, 18)
CP = 109  Type = id	Data = endline	Pos = (30, 18)
CP = 110  Type = sig	Data = ;	Pos = (37, 18)
CP = 111  Type = id	Data = import_stmt	Pos = (0, 20)
CP = 112  Type = sig	Data = ::=	Pos = (12, 20)
CP = 113  Type = dlit	Data = "import"	Pos = (16, 20)
CP = 114  Type = id	Data = import_list	Pos = (25, 20)
CP = 115  Type = id	Data = endline	Pos = (37, 20)
CP = 116  Type = sig	Data = ;	Pos = (44, 20)
CP = 117  Type = id	Data = var_def	Pos = (0, 22)
CP = 118  Type = sig	Data = ::=	Pos = (8, 22)
CP = 119  Type = id	Data = var_bind	Pos = (12, 22)
CP = 120  Type = dlit	Data = "="	Pos = (21, 22)
CP = 121  Type = id	Data = basic_expr	Pos = (25, 22)
CP = 122  Type = sig	Data = |	Pos = (36, 22)
CP = 123  Type = id	Data = var_list	Pos = (38, 22)
CP = 124  Type = sig	Data = ;	Pos = (46, 22)
CP = 125  Type = id	Data = var_stmt	Pos = (0, 24)
CP = 126  Type = sig	Data = ::=	Pos = (9, 24)
CP = 127  Type = brac	Data = (	Pos = (13, 24)
CP = 128  Type = dlit	Data = "var"	Pos = (14, 24)
CP = 129  Type = sig	Data = |	Pos = (20, 24)
CP = 130  Type = dlit	Data = "link"	Pos = (22, 24)
CP = 131  Type = sig	Data = |	Pos = (29, 24)
CP = 132  Type = dlit	Data = "constant"	Pos = (31, 24)
CP = 133  Type = brac	Data = )	Pos = (41, 24)
CP = 134  Type = id	Data = var_def	Pos = (43, 24)
CP = 135  Type = id	Data = endline	Pos = (51, 24)
CP = 136  Type = sig	Data = ;	Pos = (58, 24)
CP = 137  Type = id	Data = var_bind	Pos = (0, 26)
CP = 138  Type = sig	Data = ::=	Pos = (9, 26)
CP = 139  Type = dlit	Data = "("	Pos = (13, 26)
CP = 140  Type = id	Data = var_bind_list	Pos = (17, 26)
CP = 141  Type = brac	Data = {	Pos = (31, 26)
CP = 142  Type = dlit	Data = ","	Pos = (32, 26)
CP = 143  Type = id	Data = var_bind_list	Pos = (36, 26)
CP = 144  Type = brac	Data = }	Pos = (49, 26)
CP = 145  Type = dlit	Data = ")"	Pos = (51, 26)
CP = 146  Type = sig	Data = ;	Pos = (54, 26)
CP = 147  Type = id	Data = var_bind_list	Pos = (0, 28)
CP = 148  Type = sig	Data = ::=	Pos = (14, 28)
CP = 149  Type = token	Data = ID	Pos = (18, 28)
CP = 150  Type = sig	Data = |	Pos = (21, 28)
CP = 151  Type = token	Data = ETC	Pos = (23, 28)
CP = 152  Type = sig	Data = |	Pos = (27, 28)
CP = 153  Type = id	Data = var_bind	Pos = (29, 28)
CP = 154  Type = sig	Data = ;	Pos = (38, 28)
CP = 155  Type = id	Data = var_list	Pos = (0, 30)
CP = 156  Type = sig	Data = ::=	Pos = (9, 30)
CP = 157  Type = token	Data = ID	Pos = (13, 30)
CP = 158  Type = dlit	Data = "="	Pos = (16, 30)
CP = 159  Type = id	Data = single_expr	Pos = (20, 30)
CP = 160  Type = brac	Data = [	Pos = (32, 30)
CP = 161  Type = dlit	Data = ","	Pos = (33, 30)
CP = 162  Type = id	Data = var_list	Pos = (37, 30)
CP = 163  Type = brac	Data = ]	Pos = (45, 30)
CP = 164  Type = sig	Data = ;	Pos = (46, 30)
CP = 165  Type = id	Data = block_stmt	Pos = (0, 32)
CP = 166  Type = sig	Data = ::=	Pos = (11, 32)
CP = 167  Type = dlit	Data = "block"	Pos = (15, 32)
CP = 168  Type = token	Data = ENDL	Pos = (23, 32)
CP = 169  Type = id	Data = stmts	Pos = (28, 32)
CP = 170  Type = dlit	Data = "end"	Pos = (34, 32)
CP = 171  Type = token	Data = ENDL	Pos = (40, 32)
CP = 172  Type = sig	Data = ;	Pos = (44, 32)
CP = 173  Type = id	Data = namespace_stmt	Pos = (0, 34)
CP = 174  Type = sig	Data = ::=	Pos = (15, 34)
CP = 175  Type = dlit	Data = "namespace"	Pos = (19, 34)
CP = 176  Type = token	Data = ID	Pos = (31, 34)
CP = 177  Type = token	Data = ENDL	Pos = (34, 34)
CP = 178  Type = id	Data = decl_stmts	Pos = (39, 34)
CP = 179  Type = dlit	Data = "end"	Pos = (50, 34)
CP = 180  Type = token	Data = ENDL	Pos = (56, 34)
CP = 181  Type = sig	Data = ;	Pos = (60, 34)
CP = 182  Type = id	Data = using_stmt	Pos = (0, 36)
CP = 183  Type = sig	Data = ::=	Pos = (11, 36)
CP = 184  Type = dlit	Data = "using"	Pos = (15, 36)
CP = 185  Type = id	Data = using_list	Pos = (23, 36)
CP = 186  Type = id	Data = endline	Pos = (34, 36)
